razon_social,establecimiento,producto
LOS EUCALIPTOS S.A.,FINCA LOS EUCALIPTOS, INCULTO
LOS EUCALIPTOS S.A.,FINCA LOS EUCALIPTOS, VID
LOS EUCALIPTOS S.A.,FINCA LOS EUCALIPTOS, OLIVO
LOS EUCALIPTOS S.A.,FINCA LOS EUCALIPTOS, CAMPO NATURAL
"MASI, TUPUNGATO VIGNETI LA ARBOLEDA SA",MASI VIGNETI LA ARBOLEDA SA,VID
MONTLAIZ S.R.L.,DOÑA LIDIA,UVAS PARA VINIFICAR
NADAL JUAN GUSTAVO,LA AMPARO,UVAS
OJO DE VINO SA,OJO DE VINO SA,VID
OLATE JUAN CARLOS,"MARQUEZ 1 Y 2, MOLLAR 1 Y 2 (GRUPO AP. MALARGÜE)",MIEL
OLIVARES DE DON IGNACIO S.A.,LA LIBERTAD,VID
ORGANIC COSTAFLORES S.A.,FINCA COSTAFLORES,VID
ORGANIC COSTAFLORES S.A.,FINCA COSTAFLORES, NOGAL
ORGANIC COSTAFLORES S.A.,FINCA COSTAFLORES, INCULTO
PALUMBO GOTTARDINI CARLOS ROBERTO,ORALIA STATE,VID
PARRA SA,CUARTEL 24 (EX PARRA SA), DAMASCO
PATGO S.A,VIÑA PATRICIA,VID
PATGO S.A,VIÑA PATRICIA, OLIVOS
PEDRO Y JORGE CECCHIN S.R.L.,FINCAS RUSSEL  - JUNIN  - UGARTECHE,INCULTO
PEDRO Y JORGE CECCHIN S.R.L.,FINCAS RUSSEL  - JUNIN  - UGARTECHE, VID
PEÑAVID SA,FINCA TRIBUTO,VID
PEÑAVID SA,FINCA TRIBUTO, OLIVOS
PROVIVA S.R.L,AGRELO,UVAS
PROVIVA S.R.L.,ALTAMIRA I,UVAS
PROVIVA S.R.L.,DRUMMOND,UVAS
PUENTE BLANCO S.A.,ESTANCIA EL TAMBILLO,ABONO VERDE
PUENTE BLANCO S.A.,ESTANCIA EL TAMBILLO, AJO
PUENTE BLANCO S.A.,ESTANCIA LOS AMIGOS,AJO
PUENTE BLANCO S.A.,ESTANCIA LOS AMIGOS, ABONO VERDE
PUERTO ANCONA S.A.,VISTA FLORES, AROMATICAS
RABIDA ESCOBAR MARIA PAULA,FINCA 2R,VID
RABIDA ESCOBAR MARIA PAULA,FINCA 2R, NOGAL
RABIDA ESCOBAR MARIA PAULA,FINCA 2R, ALFALFA
S.A. BODEGA ENRIQUE VOLLMER - UCO VALLEY,BODEGAS VOLLMER UCOVALLEY S.A.,VID
SANES S.A.,FINCA LA ULTIMA, CEBOLLA
SANES S.A.,FINCA LA ULTIMA, INCULTO
SAVOINI MARIO ANTONIO,FINCA SAVOINI, UVAS FRESCAS (MESA)
SOLANDES S.A.,SOLANDES,VID
SOLANDES S.A.,SOLANDES, ACEITUNAS
SONIA Y LILIANA FERRO S.H.,RODRIGUEZ PEÑA, UVAS
SONIA Y LILIANA FERRO S.H.,RODRIGUEZ PEÑA, ACEITUNAS
STAGNITTI ALBERTO,LA MACARENA,VID
STAGNITTI ALBERTO,LA MACARENA, INCULTO
STAGNITTI ALBERTO,LA MACARENA, MEMBRILLO
TACCHINI FABIO,VISTALBA,CEREZA
TEPEU S.R.L,FINCA MUÑOZ HNOS.,ZAPALLO
TEPEU S.R.L,FINCA MUÑOZ HNOS., CHOCLO
VAL DE FLORES S.A.,VAL DE FLORES,VID
VALENCIA MIGUEL,MEDRANO,UVAS
"VALENCIA, ROBERTO OSCAR",FINCA VALENCIA,VID
VALENTIN BIANCHI SACIF,FINCA LAS PAREDES,VID
VILLA ATUEL S.A.,FINCA VILLA ATUEL,OLIVO
VILLAR JUAN JOSE,FINCA DOÑA CARMEN,CIRUELA
VILLAR JUAN JOSE,FINCA DOÑA CARMEN, INCULTO
VILLAR JUAN JOSE,FINCA DOÑA CARMEN, CAMPO NATURAL
VIÑA ESENCIA S.A.,FINCA ALEGRA,VID
VIÑAS DE ALTO SALVADOR S.A.V.A.I.C,"FINCA ""DOÑA CRISTINA"" (INV E61522)",VID
VITTORI ROBERTO Y VERONICA S.H.,CASTRO BARRO, UVAS
VITTORI ROBERTO Y VERONICA S.H.,CASTRO BARRO, ACEITUNAS
ACOSTA VILMAR,"IFAI - LOTE 1, LOTE 17",CAÑA DE AZUCAR
ALVARENGA ANTONIO JESUS,IFAI - LOTE 88,CAÑA DE AZUCAR
ALVARENGA GERONIMO FRANCISCO,IFAI - LOTE 88,CAÑA DE AZUCAR
ANIAYA HILARIO/ ANIAYA ALBERT / REIS ROBERTO,IFAI - LOTE 33/34,CAÑA DE AZUCAR
ANIAYA HILARIO/ALBERT,IFAI - LOTE 15,CAÑA DE AZUCAR
ANIAYA HILARIO/ALBERT,IFAI - LOTE 35,CAÑA DE AZUCAR
ARJOL RICARDO ALFREDO / DOMINGUEZ CARLOS ALFREDO,IFAI - LOTE 3 Y 7,CAÑA DE AZUCAR
BALSARI EDGARDO ENRIQUE,IFAI - LOTE 77,CAÑA DE AZUCAR
"BARBARO, MARIO LUCIANO",MARIO BARBARO,YERBA MATE
BOGLIOTI JUAN JOSE,IFAI - LOTE 1,CAÑA DE AZUCAR
BOWALCZUK JESUS RAUL,IFAI - LOTE 11,CAÑA DE AZUCAR
BUBLITZ CARLOS / LUCAS JOSE / PETRY BLACIO / PETRY JOSE RAFAEL,IFAI - LOTE C,CAÑA DE AZUCAR
CARDOZO ARLINDO JESUS / CARDOZO JESUS FELIX,IFAI - LOTE 143,CAÑA DE AZUCAR
CARDOZO JOSE LUIS,IFAI - LOTE 119 B,CAÑA DE AZUCAR
CARDOZO RICARDO ROGELIO,IFAI - LOTE 89,CAÑA DE AZUCAR
CARRE ANIBAL DANIEL/MACHADO MIRIAM GRACIELA,IFAI - LOTE 16,CAÑA DE AZUCAR
CARRE EMILIO/ ROJAS LILA AIDHEE / CARRE ULISES RAMON,IFAI - LOTE 4,CAÑA DE AZUCAR
"CAVIGIOLI, MARIO",CAVIGIOLI MARIO,YERBA MATE
CHESSANI MAXIMO,IFAI - LOTE 69,CAÑA DE AZUCAR
CUATRO CAMINOS S.R.L.,CUATRO CAMINOS,YERBA MATE
DA CRUZ MANUEL ROSALINO/DA CRUZ JOSE RAMON / DA CRUZ JORGE ARIEL / ROSANA ISABEL / SILVIO ORLANDO,IFAI - LOTE 90 A Y B,CAÑA DE AZUCAR
DA ROSA CARLOS/ WALTER FERREIRA DA ROSA / DE MATTOS BENITO / DE MATTOS MARIO,IFAI - LOTE 128 A,CAÑA DE AZUCAR
DA ROSA JOSE DANIEL/RODRIGUEZ EDELMIRA/DA ROSA ALEJANDRA,IFAI - LOTE 7,CAÑA DE AZUCAR
DALINGER MARGARITA IRENE,IFAI - LOTE 3 D,CAÑA DE AZUCAR
DE LA CRUZ FRANCISCO ASIS,IFAI - LOTE 23,CAÑA DE AZUCAR
DE LIMA ANGEL / MARTINEZ EZEQUIEL / SEGOVIA NADIA SOLEDAD,IFAI - LOTE 18-20,CAÑA DE AZUCAR
DE MIRANDA JUAN FRANCISCO/ DE MIRANDA JOSE FRANCISCO,IFAI - LOTE 173,CAÑA DE AZUCAR
DE OLIVERA CARLOS ORLANDO,IFAI - LOTE 11,CAÑA DE AZUCAR
DE OLIVERA HECTOR ELIAS /ADELA KARINA / RODRIGUEZ HILDA,IFAI - LOTE 10,CAÑA DE AZUCAR
DE OLIVERA HUMBERTO / ANIAYA HECTOR,IFAI - LOTE 19,CAÑA DE AZUCAR
DE OLIVERA VICTOR PLACIDO / ACOSTA CLAUDETTE,IFAI - LOTE 11,CAÑA DE AZUCAR
DENI ANTONIO / BATIROLLA LUIS PABLO / BATIROLA GUSTAVO,IFAI - LOTE FISCAL,CAÑA DE AZUCAR
DO SANTOS JUAN RAMON / RAMON,IFAI - LOTE 43,CAÑA DE AZUCAR
DO SANTOS UBALDO / LUCIA / LUCAS UBALDO DO SANTOS,IFAI - LOTE 150,CAÑA DE AZUCAR
DO SANTOS UBALDO / LUCIA / LUCAS UBALDO DO SANTOS / DO SANTOS JONATHAN,IFAI - LOTE 139,CAÑA DE AZUCAR
DORNELES JUAN CARLOS / HOFFMANN MARTINS LAUDELINO,IFAI - LOTE 4 B,CAÑA DE AZUCAR
DURAN AMBROSIO,IFAI - LOTE 73,CAÑA DE AZUCAR
DURAN AMBROSIO,IFAI - LOTE 12 Y 7,CAÑA DE AZUCAR
EICHEMBER EVALDO / CLARA DOCARMO FERNANDEZ,IFAI - LOTE 21,CAÑA DE AZUCAR
ENGER LIZARDO / RIVERO GLADIS A / AYALA ESILDA ENGER,IFAI - LOTE 148,CAÑA DE AZUCAR
ENGER LIZARDO LUIS,IFAI - LOTE 176,CAÑA DE AZUCAR
ENGERS LUCINDO / ENGERS CLOVIS MARCOS,IFAI - LOTE 22,CAÑA DE AZUCAR
ESCARVADOFSKI LIZARDO TOMAS / CERRI ORESTINA,IFAI - LOTE 39 B,CAÑA DE AZUCAR
ESCARVADOFSKI LUIS FABIAN,IFAI - LOTE 17/18,CAÑA DE AZUCAR
ESPINDOLA ALCIMIRO / FLORES MARTA,IFAI - LOTE 103,CAÑA DE AZUCAR
ESPINDOLA ALCIMIRO / FLORES MARTA,IFAI - LOTE 24 A,CAÑA DE AZUCAR
FERNANDEZ PEREIRA JOSE / JOSE HECTOR,IFAI - LOTE 94,CAÑA DE AZUCAR
FERREYRA BLANCA LUCY,IFAI - LOTE 179,CAÑA DE AZUCAR
FERREYRA LIDIA/ ELIZARDO GABRIEL,IFAI - LOTE 176,CAÑA DE AZUCAR
FERREYRA LIDIO RAMON/ ELIZARDO GABRIEL / MIRANDA ROSANA BEATRIZ / RIVERO MARIA A. YANINA,IFAI - LOTE 174,CAÑA DE AZUCAR
FERREYRA LORENZO / FERREYRA ABEL MEDELI,IFAI - LOTE 27,CAÑA DE AZUCAR
FERREYRA PEDRO,IFAI - LOTE 13,CAÑA DE AZUCAR
GALVAN MARIELA ANDREA,IFAI - LOTE 162-163,CAÑA DE AZUCAR
GALVAN MARIELA ANDREA,IFAI - LOTE 4,CAÑA DE AZUCAR
GOMEZ CARLOS RUBEN,IFAI - LOTE 153,CAÑA DE AZUCAR
GONZALEZ CLAUDIA/BECKER OSCAR,IFAI - LOTE 36,CAÑA DE AZUCAR
GROSS VICTOR DANIEL,IFAI - LOTE 8F,CAÑA DE AZUCAR
GRZVINSKI CLAUDIO / HECTOR JOSE,IFAI - LOTE 35,CAÑA DE AZUCAR
HARTMANN SIBANO / HARTMANN MAURO,IFAI - LOTE 121-123,CAÑA DE AZUCAR
JAKIMZUK LIDIA/ OLIVERA RUBEN,IFAI - LOTE 8,CAÑA DE AZUCAR
KALISPRENER JORGE RUBEN / SAWISKI MIRTHA GRACIA / KALISPRENER JORGE ANDRES,IFAI - LOTE 30,CAÑA DE AZUCAR
KAPELINSKI JOSE ESTEBAN/CRISTIAN ARIEL,IFAI - LOTE 1 B,CAÑA DE AZUCAR
KLUGE JORGE ALFREDO,IFAI - LOTE 41,CAÑA DE AZUCAR
KRAUS S.A.,ESTABLECIMIENTO KRAUS,TE
KRAUS S.A.,ESTABLECIMIENTO KRAUS, YERBA MATE
KURZNIWSKI GERARDO GERMAN,IFAI - LOTE 11,CAÑA DE AZUCAR
LASSER TERESA/ MITTIL JUAN CARLOS  / MITTIL JUAN CARLOS (HIJO),IFAI - LOTE 5,CAÑA DE AZUCAR
LOPEZ LUCAS,CHACRA IPOTI,YERBA MATE
LORENZO YOLANDA /SENIO CRISTIAN SANTIAGO,IFAI - LOTE 237,CAÑA DE AZUCAR
MACHADO MENDRANA PRADELINO / MACHADO PAULO,IFAI - LOTE 62,CAÑA DE AZUCAR
MACHADO MIGUEL ANGEL/FERNANDO MIGUEL,IFAI - LOTE 61,CAÑA DE AZUCAR
MARIANA MAMPAEY,EL HORMIGUERO,YERBA
MARIANA MAMPAEY,EL HORMIGUERO, CAÑA DE AZUCAR
MARIANA MAMPAEY,EL HORMIGUERO, MANDIOCA
MARIANA MAMPAEY,EL HORMIGUERO, AROMATICAS Y MEDICINALES
MARLANDER JORGE ALFREDO / MARLANDER EZEQUIEL/ STECIUK MATIAS,IFAI - LOTE 8,CAÑA DE AZUCAR
MARTIN JAVIER SALOMON SAAIED,CHACRA ADAMA,YERBA
MARTIN JAVIER SALOMON SAAIED,CHACRA ADAMA, TE
MARTIN JAVIER SALOMON SAAIED,CHACRA ADAMA, POMELO
MARTIN JAVIER SALOMON SAAIED,CHACRA ADAMA, MANDARINA
MIRANDA CARLOS LEON/MIRANDA HECTOR,IFAI - LOTE 133,CAÑA DE AZUCAR
"MOZZONI, ROBERTO RAMON",ROBERTO MOZZONI,TE
"MOZZONI, ROBERTO RAMON",ROBERTO MOZZONI, YERBA MATE
NELCI SANTIAGO / GENESINI HILDA INES,IFAI - LOTE FISCAL,CAÑA DE AZUCAR
NEVEZ EUSEBIO,IFAI - LOTE 129,CAÑA DE AZUCAR
NUÑEZ MARCELO RAMON / GARCIA MYRYAM,IFAI - LOTE K1,CAÑA DE AZUCAR
NUÑEZ MARCELO RAMON /GARCIA MYRIAN,IFAI - LOTE 36,CAÑA DE AZUCAR
OLEJNIK CARLOS/ESPINDOLA JORGE RAMON,IFAI - LOTE 27 A,CAÑA DE AZUCAR
OLIVEIRA JORGE / NERI / VIDALVINA PEREYRA ( EX OLIVEIRA VALDIR / JORGE OLIVEIRA / ALFREDO NERI / ALEJANDRO OLIVEIRA),IFAI - LOTE 89,CAÑA DE AZUCAR
OLIVERA ENRIQUE/ BENITO/DE MATTOS CLAUDIA / DA SILVA NATANAEL,IFAI - LOTE 198,CAÑA DE AZUCAR
OLIVERA RAMON HECTOR,IFAI - LOTE 43,CAÑA DE AZUCAR
OLIVERA RAMON HECTOR / JAKIMZUK OLGA CLAUDIA,IFAI - LOTE 196,CAÑA DE AZUCAR
OLIVERA ROSA/PALCHICOVSKI SERGIO RAMON,IFAI - LOTE 6,CAÑA DE AZUCAR
OLIVERA RUBEN / JAKIMZUK LIDIA / OLIVERA CESAR,IFAI - LOTE 198,CAÑA DE AZUCAR
OLIVERA RUBEN / JAKIMZUK LIDIA / OLIVERA CESAR,IFAI - LOTE 196,CAÑA DE AZUCAR
PARK ANNA,ANNA PARK,MONTE
PARK ANNA,ANNA PARK, YERBA MATE
PARK ANNA,ANNA PARK, TE
"PAULUK, TEODORO",PAULUK TEODORO,YERBA MATE
PEDROZO ROBERTO,IFAI - LOTE 132,CAÑA DE AZUCAR
PEREIRA MARIANO LIZARDO,IFAI - LOTE 143,CAÑA DE AZUCAR
PEREYRA DE RAMOS ABEL/EZEQUIEL,IFAI - LOTE 44,CAÑA DE AZUCAR
PIEKA ANTONIO / SVIRCZ ELIAS,IFAI - LOTE 21,CAÑA DE AZUCAR
QUEVEDO LUIS ALBERTO,IFAI - LOTE 29,CAÑA DE AZUCAR
RAUL LOPEZ/LUCAS LOPEZ,CUARAJU MIMBI,YERBA MATE
REIS JACINTO / REIS JORGE LUIS / REIS ROBERTO ABEL,IFAI - LOTE 37 B,CAÑA DE AZUCAR
RIVERO GLADIS ANSELMA,IFAI - LOTE 176,CAÑA DE AZUCAR
RIVERO JUAN CARLOS,IFAI - LOTE 67,CAÑA DE AZUCAR
RODRIGUEZ JOSE CARLOS/ ELVIO MARINO,IFAI - LOTE 17,CAÑA DE AZUCAR
RODRIGUEZ JUAN CARLOS / PORTO FRANCISCO,IFAI - LOTE 17 OESTE,CAÑA DE AZUCAR
RODRIGUEZ MIGUEL CEFERINO,IFAI - LOTE H,CAÑA DE AZUCAR
RODRIGUEZ OSCAR/ RODRIGUEZ RENALSINO,IFAI - LOTE 154,CAÑA DE AZUCAR
ROTTA JOSE OSCAR/JOSE MARCELO,IFAI - LOTE 80,CAÑA DE AZUCAR
RUBEN DARIO HENN,CHACRA DON LUIS,YERBA MATE
SADI LEIRIA,IFAI - LOTE 165,CAÑA DE AZUCAR
SAPOZNIK ANTONIO,IFAI - LOTE 1 Y 2,CAÑA DE AZUCAR
SAVISKI CARLOS FRANCISCO,IFAI - LOTE 39 - 40,CAÑA DE AZUCAR
SAVISKI ELVIO OSCAR,IFAI - LOTE 29,CAÑA DE AZUCAR
"SCHERF, ALBERTO",SCHERF ALBERTO,YERBA MATE
SCHOLLES LUIS OSCAR / JOSE LUIS,IFAI - LOTE 41,CAÑA DE AZUCAR
SEGOVIA NADIA SOLEDAD / CRUZ MARCELO,IFAI - LOTE 78,CAÑA DE AZUCAR
SELL JUAN,IFAI - LOTE 65,CAÑA DE AZUCAR
SELL MIGUEL,IFAI - LOTE 54,CAÑA DE AZUCAR
SEMAINKO JUAN ALBERTO / DANIEL,IFAI - LOTE 54,CAÑA DE AZUCAR
SILVA ARMANDO ARIEL / ADAN,IFAI - LOTE 21,CAÑA DE AZUCAR
SILVEYRA EDUARDO / SEPE FATIMA ISABEL,IFAI - LOTE 87 B,CAÑA DE AZUCAR
SKRABA JUAN PABLO/SKRABA JUAN GUSTAVO,IFAI - LOTE 9 A,CAÑA DE AZUCAR
SKUREK FERNANDO ARIEL,DORJE,POROTO SABLE
SKUREK FERNANDO ARIEL,DORJE, STEVIA
"SOLIS JOSE MARIA / ANDREA, GRACIELA",IFAI - LOTE 21,CAÑA DE AZUCAR
SOLIS LEONEL JOSE/DOWBUZ LILIANA,IFAI - LOTE 20,CAÑA DE AZUCAR
STECIUK ELIDA TERESITA/ RAEL OMAR DE OLIVERA / PALCZIKONSKI ALBINO,IFAI - LOTE 38-39-40,CAÑA DE AZUCAR
SUAREZ RAMON OSCAR,IFAI - LOTE 16,CAÑA DE AZUCAR
SUAREZ RAMON OSCAR / JAVIER OSCAR,IFAI - LOTE QTA 2,CAÑA DE AZUCAR
TABAREZ ANSELMO,IFAI - LOTE 12,CAÑA DE AZUCAR
TARCISIO JOSE LUFT,DON BRUNO JOSE,
TAVAREZ CARLOS ANSELMO/ ANSELMO,IFAI - LOTE 18,CAÑA DE AZUCAR
TAVAREZ RAMON SERGIO / JUAN CARLOS,IFAI - LOTE 12,CAÑA DE AZUCAR
TRACHUK JOSE JAVIER / TRACHUK JOSE LUIS / TRACHUK EMILIO TEOFILO,IFAI - LOTE 72,CAÑA DE AZUCAR
TRACHUK JOSE JAVIER / TRACHUK JOSE LUIS / TRACHUK EMILIO TEOFILO,IFAI - LOTE 65,CAÑA DE AZUCAR
TRINDADES RUBEN ANGEL,IFAI - LOTE 711,CAÑA DE AZUCAR
TYMCSZYSZYN JULIO DEMETRIO,IFAI - LOTE 520,CAÑA DE AZUCAR
VARELA CLAUDIO,EL LAPACHO, ANANA Y MANDARINA
VARGAS PACHECO JOSE CARLOS / DOMINGUEZ NETO ELIO / MACHADO BARCELLOS JOEL / MACHADO ARLINDO,IFAI - LOTE 28,CAÑA DE AZUCAR
VELAZQUE FERNANDEZ JOSE JULCI/PRETTO ADAN,IFAI - LOTE 14,CAÑA DE AZUCAR
WAGNER NORBERTO,IFAI - LOTE 49-50,CAÑA DE AZUCAR
WAIDELICH OTTO,LOS CEDRITOS,VAQUILLONAS
WAIDELICH OTTO,LOS CEDRITOS, TERNEROS
WAIDELICH OTTO,LOS CEDRITOS, TOROS
WAIDELICH OTTO,LOS CEDRITOS, VACAS
ZANAZZO OMAR / ZANAZZO JUAN CARLOS,IFAI - LOTE 25,CAÑA DE AZUCAR
BARTUSCH Y ZUBAK SRL,RAI MAPU,MANZANA
BARTUSCH Y ZUBAK SRL,RAI MAPU, PERA
"BARTUSCH, ERNESTO",AÑELO,CIRUELA
"BARTUSCH, ERNESTO",FEDERICO (LOTE 92S93N),MANZANA
"BARTUSCH, ERNESTO",RESIDENCIA (LOTE 161A),MANZANA
"BARTUSCH, ERNESTO",RESIDENCIA (LOTE 161A), PERA
"BARTUSCH, RODOLFO",RIO NEUQUEN, VIVERO
"BARTUSCH, RODOLFO",CASA (LOTE 161B), PERA
"BARTUSCH, RODOLFO",FIDEL (LOTE 154), MANZANA
"BARTUSCH, RODOLFO",FIDEL (LOTE 154), CIRUELA
"BARTUSCH, RODOLFO",Nº 205 Y Nº 206,MANZANA
"BARTUSCH, RODOLFO",VIVERO (LOTE 122),MANZANA
"BARTUSCH, RODOLFO",VIVERO (LOTE 122), PERA
BUWACO S.R.L.,LA NONA,MANZANAS Y PERAS
"CARDENAS, JUANA ROSA",LOTE 160, PERA
"CARDENAS, JUANA ROSA",LOTE 94-1,MANZANA
"CENTURION, LAURA",DON DIONISIO,PERA
DALLA VILLA ALBERTO RAUL,EL CLAVO,MANZANA
DALLA VILLA ALBERTO RAUL,EL CLAVO, PERA
DALLA VILLA ALBERTO RAUL,LA VIEJA,MANZANA
DALLA VILLA ALBERTO RAUL,LA VIEJA, PERA
DALLA VILLA ALBERTO RAUL,SALITRE,MANZANA
DALLA VILLA ALBERTO RAUL,SALITRE, PERA
DELLA GASPERA ALDO,CHACRA 187,MANZANA
DELLA GASPERA ALDO,CHACRA 187, PERA
DELLA GASPERA ALDO,LA CASA, PERA
DOS RIOS SA,EL CRUCE,MANZANA
DOS RIOS SA,EL CRUCE, PERA
ESTABLECIMIENTO NICOLAS S.R.L,NICOLAS,MANZANA
ESTABLECIMIENTO NICOLAS S.R.L,NICOLAS, PERA
GARCIA MARIO ALBERTO,DON CHICHO,PERA
GARCIA MARIO ALBERTO,GARCIA MARIO,PERA
GURE ECHEA S.R.L,GERNIKA,MANZANA
GURE ECHEA S.R.L,GERNIKA, PERA
ISLAFRUT SRL,ISLA MANZANO,MANZANA
ISLAFRUT SRL,ISLA MANZANO, PERA
"JACOBO, FRANCISCO JOSE","JACOBO, FRANCISCO JOSE",PERA
LA DELICIOSA S.A.,CHACRA 34 LOTES B Y D,MANZANA
LA DELICIOSA S.A.,EL ALPATACO, PERA
LA DELICIOSA S.A.,LA ISLA,MANZANA
LA DELICIOSA S.A.,LA ISLA, PERA
LA DELICIOSA S.A.,AIVEN,MANZANA
LA DELICIOSA S.A.,AIVEN, PERA
LA DELICIOSA S.A.,DON GREGORIO,MANZANA
LA DELICIOSA S.A.,DON GREGORIO, PERA
LA DELICIOSA S.A.,DOÑA PEPA,PERA
LA DELICIOSA S.A.,LOTES 5B Y 5A,MANZANA
LA DELICIOSA S.A.,LOTES 5B Y 5A, PERA
"MARTIN, OSCAR ALFREDO",EL LUPULAR ORGANICS FARM,MANZANA
"MARTIN, OSCAR ALFREDO",EL LUPULAR ORGANICS FARM, CEREZA
"MARTIN, OSCAR ALFREDO",EL LUPULAR ORGANICS FARM, DURAZNO
"PAULOVICH, JUAN CARLOS",CHACRA CHINA MUERTA,MANZANA
"RETAMAL FERNANDEZ, JOSE E.","CHACRA ""EPUYEN""", PERA
SAHORES S.A.,SAHORES S.A., PERAS
"SANCHEZ, DARIO OMAR",LOTE 230 A,MANZANA
SAYIHUE SRL,VISTA ALEGRE,MANZANA
SAYIHUE SRL,VISTA ALEGRE, PERA
SERHEN SRL,CHACRA 32,MANZANA
"STANGAFERRO, SERGIO",CHACRA 82-S,MANZANA
"STANGAFERRO, SERGIO",CHACRA 82-S, CALENDULA
SUC. VANNICOLA RAUL ANTONIO,ESCRAY, PERA
TECNITERRA SACIA,CHACRA 19,PERA
TECNITERRA SACIA,CHACRA 19, MANZANA
TECNITERRA SACIA,CHACRA 19, CIRUELA
TECNITERRA SACIA,CHACRA 19A,MANZANA
TECNITERRA SACIA,CHACRA 19A, PERA
ADRION PAUL,CHACRA HUMUS, LECHE
ADRION PAUL,CHACRA HUMUS, TERNERAS
ADRION PAUL,CHACRA HUMUS, TERNEROS
AGRICO.AR S.A.,AGRICO.AR S.A.,CEREZA
AGRO ROCA SA,LA CONSTANCIA,PERA
AGRO ROCA SA,LA CONSTANCIA, MANZANA
AGRO ROCA SA,LA ESCONDIDA,PERA
AGRO ROCA SA,LA ESCONDIDA, MANZANA
AGRO ROCA SA,LA ZAMBA,PERA
AGRO ROCA SA,LA ZAMBA, MANZANA
AGRONICA S.A.,FORTIN COPAHUE,CERELAES Y OELAGINOSAS
ANTIGUA SA (EX GARRIDO ROBERTO),CHACRA 145,PERA
ANTIGUA SA (EX GARRIDO ROBERTO),CHACRA 145, MANZANA
ANTIGUA SA (EX GARRIDO ROBERTO),CHACRA 216, MANZANA
ANTIGUA SA (EX GARRIDO ROBERTO),CHACRA 216, PELON
ANTIGUA SA (EX GARRIDO ROBERTO),CHACRA 216, DURAZNO
"BANCO, HUGO","BANCO, HUGO", MANZANA
"BARZI, GUILLERMO AMADEO",CHACRA 186,MANZANA
"BARZI, GUILLERMO AMADEO",CHACRA 186, PERA
BIOVALLE S.A.,CHIMPAY II - LA ISLA,MANZANAS
BODEGA CHACRA S.R.L.,CHACRA 356 LOTE B DON TOMASO,VID
BODEGA CHACRA S.R.L.,CHACRA 357 LOTE B,VID
BODEGA CHACRA S.R.L.,CHACRA MENDOZA,VID
BODEGA Y VIÑEDOS PATAGONIA VALLEY S.R.L.,AUGUSTO RIPOLL,VID
BRASPATAGONIA S.R.L.,BRASPATAGONIA,MANZANA
BRASPATAGONIA S.R.L.,BRASPATAGONIA, PERA
CANESSA HNAS,RAYHUAO,VACAS
CANESSA HNAS,RAYHUAO, VAQUILLONAS
CANESSA HNAS,RAYHUAO, TOROS
COMPAÑIA DE PRODUCCION FRUTIHORTICOLA  SA,BIO CAÑADON COLLETTI,PERA
COMPAÑIA DE PRODUCCION FRUTIHORTICOLA  SA,BUONA MELA,MANZANA
COMPAÑIA DE PRODUCCION FRUTIHORTICOLA  SA,BUONA MELA, PERA
COMPAÑIA DE TIERRAS SUD ARGENTINO SA,ESTANCIA PILCANIYEU Y SAN PEDRO, GANADERIA OVINA (CARNE Y LANA)
COMPAÑIA GENERAL DE FRUTAS S.A.,ELSA 1 Y 2,MANZANAS Y PERAS
COMPAÑIA GENERAL DE FRUTAS S.A.,LOS PERALES,MANZANAS Y PERAS
COMPAÑIA GENERAL DE FRUTAS S.A.,SECCION TERCERA,MANZANAS Y PERAS
COSTANZI CARLOS SILVIO,EL NONO,MANZANAS Y PERAS
COSTANZI EDGARDO MARIO SILVIO,LA COSTA,MANZANAS Y PERAS
"DALLA PRIA, ALBERTO Y EDUARDO S.H.",CHACRA 216 B, PERA
"DALLA PRIA, ALBERTO Y EDUARDO S.H.",CHACRA 216 B, CIRUELA
"DALLA PRIA, ALBERTO Y EDUARDO S.H.",CHACRA 340,PERA
"DALLA PRIA, ALBERTO Y EDUARDO S.H.",CHACRA 340, MANZANA
ELOSEGUI HNOS. S.A.,LA INES,PERA
ELOSEGUI HNOS. S.A.,LA INES, MANZANA
ELOSEGUI HNOS. S.A.,LA INES, VID
ESTABLECIMIENTO SANTA MARIA S.R.L.,ESTABLECIMIENTO SANTA MARIA SRL, PERA
ESTABLECIMIENTO SOLEDAD SA,CHACRA 363,PERA
ESTABLECIMIENTO SOLEDAD SA,CHACRA Nº 388,MANZANA
FRESCURAS ORGANICAS PATAGONICAS S.A.,CHACRA CHICHINALES,PERAS Y MANZANAS
FRESCURAS ORGANICAS PATAGONICAS S.A.,CHACRA JOBEL,PERAS Y MANZANAS
FRESCURAS ORGANICAS PATAGONICAS S.A.,CHACRA LAS 50,PERAS Y MANZANAS
FRESCURAS ORGANICAS PATAGONICAS S.A.,CHACRA MARCELO,PERAS Y MANZANAS
FRESCURAS ORGANICAS PATAGONICAS S.A.,CHACRA RAFIN,PERAS Y MANZANAS
FRUTICULTORES EMPACADORES DE GENERAL ROCA S.A.C.I.A.E I.,CHACRA 215,PERA
FRUTICULTORES EMPACADORES DE GENERAL ROCA S.A.C.I.A.E I.,CHACRA 215, MANZANA
FRUTICULTORES EMPACADORES DE GENERAL ROCA S.A.C.I.A.E I.,CHACRA 204,PERA
FRUTICULTORES EMPACADORES DE GENERAL ROCA S.A.C.I.A.E I.,DON PEDRO,MANZANA
