razon_social,establecimiento,id_depto,nombre_rubro
MISKA SA,SAN LUIS,26007,AGRICULTURA
MISKA SA,DON GREGORIO,26021,AGRICULTURA
MISKA SA,BREIZH,26070,AGRICULTURA
MISKA SA,LOS VERDES,26042,AGRICULTURA
MISKA SA,CONSTANTIN,26042,AGRICULTURA
MISKA SA,LOIZA,30105,AGRICULTURA
MOA INTERNACIONAL A.C. DE FILOSOFIA Y CULTURA,ZUISENKIO DERQUI,50042,HORTICULTURA
NEO ARGENTO SC,LAS TRES NENAS,30015,AGRICULTURA
NOVICK PABLO HORACIO,EL CUADRO DEL VASCO,50042,AGRICULTURA
NOVICK PABLO HORACIO,EL VASQUITO,30015,AGRICULTURA
"PERASSO, EMILIO CESAR",LA AMELIA,50042,AGRICULTURA
PETROAGRO S.A.,DON BENEDETTO,30015,AGRICULTURA
PETROAGRO S.A.,SAN JUAN,30098,AGRICULTURA
PETROAGRO S.A.,HURE,30015,AGRICULTURA
PETROAGRO S.A.,SAN CARLOS,30049,AGRICULTURA
PETROAGRO S.A.,LOS VASQUITOS,30049,AGRICULTURA
PETROAGRO S.A.,SIVORI,30015,AGRICULTURA
"PROVERBIO, JUAN MARIANO",LOTE 111,30015,AGRICULTURA
"PROVERBIO, JUAN MARIANO","PROVERBIO, JUAN MARIANO",30098,HORTICULTURA
PROVIDENCE SA,LA ISLA,30015,AGRICULTURA/GANADERIA
PROVIDENCE SA,SANTA ELENA,30015,AGRICULTURA/GANADERIA
RIVARA S.A.,LAS NUTRIAS,30015,AGRICULTURA
RIVARA S.A.,LA MARTITA,30015,AGRICULTURA
RIVARA S.A.,EL FORTIN Y LOS MEDANOS,30015,AGRICULTURA
RIVARA S.A.,EL ROSARIO (MANUBI),30015,AGRICULTURA
RIVARA S.A.,LA ADELINA,30035,AGRICULTURA
RIVARA S.A.,10 DE JUNIO,22126,AGRICULTURA
RIVARA S.A.,MAMA CAROLINA,34049,AGRICULTURA
RIVARA S.A.,LA LUISA,54112,AGRICULTURA
RODOLFO UNGARO Y CIA S.A.,ARMONIA - LAS 150 - EL MORO,38014,GANADERIA
ROLAND MOHLE/CORINA KEYMER DE MOHLE,ROCO,38014,FRUTICULTURA/HORTICULTURA
"ROSSI, PILADE QUINTO",EL CHAPARRAL,38014,AGRICULTURA
"ROSSI, PILADE QUINTO",LA ALCANCIA,46007,AGRICULTURA
SASAKI NOOSAN SRL,SASAKI NOOSAN SRL,46007,HORTICULTURA
SOYAPAMPA S.A.,EL REZONGO,46028,AGRICULTURA
SOYAPAMPA SA,VIMANEMAR,46007,AGRICULTURA
SOYAPAMPA SA,LAS MARIAS,46007,AGRICULTURA
