producto,provincia
 DESCANSO,Corrientes
 DESCANSO,Entre Ríos
 DESCANSO,Mendoza
 DESCANSO,Misiones
 DESCANSO,Neuquén
 DESCANSO,Río Negro
 DESCANSO,Santa Fe
 DESCANSO,Santiago del Estero
 SOJA,Buenos Aires
 SOJA,Corrientes
 SOJA,Córdoba
 SOJA,Entre Ríos
 SOJA,La Rioja
 SOJA,Mendoza
 SOJA,Misiones
 SOJA,Neuquén
 SOJA,San Juan
 SOJA,Santa Fe
VINO,Buenos Aires
VINO,Catamarca
VINO,Chubut
VINO,Córdoba
VINO,Misiones
VINO,Neuquén
VINO,Río Negro
VINO,Salta
VINO,San Juan
VINO,Santiago del Estero
YERBA MATE,Buenos Aires
YERBA MATE,Catamarca
YERBA MATE,Córdoba
YERBA MATE,Entre Ríos
YERBA MATE,Mendoza
YERBA MATE,Río Negro
YERBA MATE,San Juan
YERBA MATE,Santa Fe
YERBA MATE,Santiago del Estero
YERBA MATE,Tucumán
 CEREZA,Buenos Aires
 CEREZA,Catamarca
 CEREZA,Córdoba
 CEREZA,Entre Ríos
 CEREZA,La Rioja
 CEREZA,Mendoza
 CEREZA,Misiones
 CEREZA,San Juan
 CEREZA,Santa Fe
 GIRASOL,Buenos Aires
 GIRASOL,Chubut
 GIRASOL,Córdoba
 GIRASOL,Entre Ríos
 GIRASOL,Mendoza
 GIRASOL,Misiones
 GIRASOL,Neuquén
 GIRASOL,Salta
 GIRASOL,San Juan
CEREALES,Buenos Aires
CEREALES,Catamarca
CEREALES,Chubut
CEREALES,Córdoba
CEREALES,Entre Ríos
CEREALES,Mendoza
CEREALES,Misiones
CEREALES,Río Negro
CEREALES,Santiago del Estero
TRIGO,Buenos Aires
TRIGO,Córdoba
TRIGO,Entre Ríos
TRIGO,Jujuy
TRIGO,La Rioja
TRIGO,Mendoza
TRIGO,Misiones
TRIGO,San Luis
TRIGO,Santa Fe
 CAMPO NATURAL,Buenos Aires
 CAMPO NATURAL,Córdoba
 CAMPO NATURAL,Entre Ríos
 CAMPO NATURAL,Mendoza
 CAMPO NATURAL,Misiones
 CAMPO NATURAL,Neuquén
 CAMPO NATURAL,Río Negro
 CAMPO NATURAL,Santa Fe
 TOMATE,Catamarca
 TOMATE,Jujuy
 TOMATE,Mendoza
 TOMATE,Misiones
 TOMATE,Neuquén
 TOMATE,San Juan
 TOMATE,San Luis
 TOMATE,Santa Fe
 TOROS,Buenos Aires
 TOROS,Jujuy
 TOROS,Mendoza
 TOROS,Misiones
 TOROS,Neuquén
 TOROS,Salta
 TOROS,San Luis
 TOROS,Santa Fe
 VAQUILLONAS,Buenos Aires
 VAQUILLONAS,Jujuy
 VAQUILLONAS,Mendoza
 VAQUILLONAS,Misiones
 VAQUILLONAS,Neuquén
 VAQUILLONAS,Salta
 VAQUILLONAS,San Luis
 VAQUILLONAS,Santa Fe
 YERBA MATE,Buenos Aires
 YERBA MATE,Catamarca
 YERBA MATE,Córdoba
 YERBA MATE,Mendoza
 YERBA MATE,Misiones
 YERBA MATE,Salta
 YERBA MATE,San Juan
 YERBA MATE,Tucumán
VID,Córdoba
VID,Misiones
VID,Neuquén
VID,Río Negro
VID,Salta
VID,San Juan
VID,Santa Fe
VID,Santiago del Estero
 AJO,Córdoba
 AJO,Mendoza
 AJO,Misiones
 AJO,Neuquén
 AJO,Río Negro
 AJO,San Luis
 AJO,Santa Fe
 ARROZ,Chubut
 ARROZ,Córdoba
 ARROZ,La Rioja
 ARROZ,Misiones
 ARROZ,Neuquén
 ARROZ,Santa Fe
 ARROZ,Santiago del Estero
 DAMASCO,Córdoba
 DAMASCO,La Rioja
 DAMASCO,Mendoza
 DAMASCO,Misiones
 DAMASCO,Río Negro
 DAMASCO,Santa Fe
 DAMASCO,Tucumán
 MAIZ PISINGALLO,Buenos Aires
 MAIZ PISINGALLO,Corrientes
 MAIZ PISINGALLO,Córdoba
 MAIZ PISINGALLO,Entre Ríos
 MAIZ PISINGALLO,Misiones
 MAIZ PISINGALLO,San Juan
 MAIZ PISINGALLO,Santa Fe
 MANDARINA,Buenos Aires
 MANDARINA,Catamarca
 MANDARINA,Corrientes
 MANDARINA,Córdoba
 MANDARINA,Mendoza
 MANDARINA,Misiones
 MANDARINA,Santa Fe
 MONTE,Buenos Aires
 MONTE,Catamarca
 MONTE,Córdoba
 MONTE,Entre Ríos
 MONTE,Misiones
 MONTE,Santa Fe
 MONTE,Santiago del Estero
 NARANJA,Buenos Aires
 NARANJA,Catamarca
 NARANJA,Corrientes
 NARANJA,Córdoba
 NARANJA,Mendoza
 NARANJA,Misiones
 NARANJA,Santa Fe
 TERNERAS,Buenos Aires
 TERNERAS,Chubut
 TERNERAS,Jujuy
 TERNERAS,Misiones
 TERNERAS,Salta
 TERNERAS,San Luis
 TERNERAS,Santa Fe
 ZANAHORIA,Catamarca
 ZANAHORIA,Córdoba
 ZANAHORIA,Mendoza
 ZANAHORIA,Río Negro
 ZANAHORIA,San Luis
 ZANAHORIA,Santa Fe
 ZANAHORIA,Tucumán
INCULTO,Córdoba
INCULTO,Entre Ríos
INCULTO,Misiones
INCULTO,Neuquén
INCULTO,Río Negro
INCULTO,Santa Fe
INCULTO,Santiago del Estero
MAIZ,Buenos Aires
MAIZ,Catamarca
MAIZ,Entre Ríos
MAIZ,Mendoza
MAIZ,Misiones
MAIZ,Salta
MAIZ,San Juan
VACAS,Buenos Aires
VACAS,Jujuy
VACAS,Misiones
VACAS,Neuquén
VACAS,Salta
VACAS,San Luis
VACAS,Santa Fe
 ABONO VERDE,Buenos Aires
 ABONO VERDE,Catamarca
 ABONO VERDE,Entre Ríos
 ABONO VERDE,Neuquén
 ABONO VERDE,Río Negro
 ABONO VERDE,Santa Fe
 ACEITUNAS,Buenos Aires
 ACEITUNAS,Córdoba
 ACEITUNAS,Misiones
 ACEITUNAS,Neuquén
 ACEITUNAS,Río Negro
 ACEITUNAS,Santa Fe
 ARANDANO,Córdoba
 ARANDANO,Entre Ríos
 ARANDANO,La Rioja
 ARANDANO,Mendoza
 ARANDANO,Misiones
 ARANDANO,Santa Fe
 CEBADA,Buenos Aires
 CEBADA,Entre Ríos
 CEBADA,Misiones
 CEBADA,Neuquén
 CEBADA,San Juan
 CEBADA,Santa Fe
 CENTENO,Buenos Aires
 CENTENO,Chubut
 CENTENO,Córdoba
 CENTENO,Entre Ríos
 CENTENO,Misiones
 CENTENO,Neuquén
 LIMON,Buenos Aires
 LIMON,Catamarca
 LIMON,Córdoba
 LIMON,Mendoza
 LIMON,Misiones
 LIMON,Santa Fe
 OLIVOS,Córdoba
 OLIVOS,Misiones
 OLIVOS,Neuquén
 OLIVOS,Río Negro
 OLIVOS,Salta
 OLIVOS,Santa Fe
 POMELO,Buenos Aires
 POMELO,Catamarca
 POMELO,Córdoba
 POMELO,Mendoza
 POMELO,Misiones
 POMELO,Santa Fe
 POROTO,Buenos Aires
 POROTO,Corrientes
 POROTO,Córdoba
 POROTO,Mendoza
 POROTO,Misiones
 POROTO,Salta
 ROMERO,Buenos Aires
 ROMERO,Chaco
 ROMERO,Jujuy
 ROMERO,Mendoza
 ROMERO,Misiones
 ROMERO,San Luis
 SALVIA,Buenos Aires
 SALVIA,Jujuy
 SALVIA,Mendoza
 SALVIA,Misiones
 SALVIA,Salta
 SALVIA,San Luis
 SESAMO,Buenos Aires
 SESAMO,Catamarca
 SESAMO,Chubut
 SESAMO,Mendoza
 SESAMO,Misiones
 SESAMO,Santiago del Estero
 SORGO,Buenos Aires
 SORGO,Córdoba
 SORGO,Entre Ríos
 SORGO,Misiones
 SORGO,Neuquén
 SORGO,Salta
 TERNEROS,Buenos Aires
 TERNEROS,Chubut
 TERNEROS,Jujuy
 TERNEROS,Misiones
 TERNEROS,Salta
 TERNEROS,Santa Fe
 TOMILLO,Buenos Aires
 TOMILLO,Chaco
 TOMILLO,Jujuy
 TOMILLO,Misiones
 TOMILLO,Salta
 TOMILLO,San Luis
AJO,Buenos Aires
AJO,Córdoba
AJO,Mendoza
AJO,Misiones
AJO,Neuquén
AJO,Río Negro
ARROZ,Córdoba
ARROZ,La Rioja
ARROZ,Mendoza
ARROZ,Neuquén
ARROZ,Salta
ARROZ,Santa Fe
AZUCAR DE CAÑA,Catamarca
AZUCAR DE CAÑA,Córdoba
AZUCAR DE CAÑA,Misiones
AZUCAR DE CAÑA,Río Negro
AZUCAR DE CAÑA,San Juan
AZUCAR DE CAÑA,Santiago del Estero
CHIA (SALVIA HISPANICA L.),Buenos Aires
CHIA (SALVIA HISPANICA L.),Chubut
CHIA (SALVIA HISPANICA L.),Córdoba
CHIA (SALVIA HISPANICA L.),Misiones
CHIA (SALVIA HISPANICA L.),Salta
CHIA (SALVIA HISPANICA L.),San Juan
HORTALIZAS,Chubut
HORTALIZAS,Córdoba
HORTALIZAS,Entre Ríos
HORTALIZAS,La Rioja
HORTALIZAS,Misiones
HORTALIZAS,Neuquén
KIWIS,Buenos Aires
KIWIS,Chubut
KIWIS,Córdoba
KIWIS,Misiones
KIWIS,Río Negro
KIWIS,San Juan
LIMON,Corrientes
LIMON,Córdoba
LIMON,Mendoza
LIMON,Misiones
LIMON,Santa Fe
LIMON,Santiago del Estero
MIEL,Buenos Aires
MIEL,Córdoba
MIEL,Misiones
MIEL,Neuquén
MIEL,Río Negro
MIEL,Santa Fe
MIEL Y SUBPRODUCTOS DE LA COLMENA,Catamarca
MIEL Y SUBPRODUCTOS DE LA COLMENA,Córdoba
MIEL Y SUBPRODUCTOS DE LA COLMENA,Mendoza
MIEL Y SUBPRODUCTOS DE LA COLMENA,Misiones
MIEL Y SUBPRODUCTOS DE LA COLMENA,Salta
MIEL Y SUBPRODUCTOS DE LA COLMENA,Santiago del Estero
PERAS Y MANZANAS,Chaco
PERAS Y MANZANAS,Córdoba
PERAS Y MANZANAS,Entre Ríos
PERAS Y MANZANAS,Jujuy
PERAS Y MANZANAS,San Juan
PERAS Y MANZANAS,Santiago del Estero
 ACELGA,Buenos Aires
 ACELGA,Catamarca
 ACELGA,Mendoza
 ACELGA,Misiones
 ACELGA,San Luis
 ALFALFA,Jujuy
 ALFALFA,Mendoza
 ALFALFA,Misiones
 ALFALFA,Río Negro
 ALFALFA,Santa Fe
 ARANDANO CONGELADO,Córdoba
 ARANDANO CONGELADO,Entre Ríos
 ARANDANO CONGELADO,La Rioja
 ARANDANO CONGELADO,Misiones
 ARANDANO CONGELADO,Tucumán
 ARVEJA,Buenos Aires
 ARVEJA,Mendoza
 ARVEJA,Misiones
 ARVEJA,San Luis
 ARVEJA,Tucumán
 BATATA,Catamarca
 BATATA,Córdoba
 BATATA,San Luis
 BATATA,Santa Fe
 BATATA,Tucumán
 BROCOLI,Buenos Aires
 BROCOLI,Catamarca
 BROCOLI,Misiones
 BROCOLI,San Luis
 BROCOLI,Santa Fe
 CARNEROS,Chubut
 CARNEROS,Córdoba
 CARNEROS,La Rioja
 CARNEROS,Misiones
 CARNEROS,Santa Fe
 CIRUELA Y DURAZNO ,Chubut
 CIRUELA Y DURAZNO ,Córdoba
 CIRUELA Y DURAZNO ,Misiones
 CIRUELA Y DURAZNO ,Río Negro
 CIRUELA Y DURAZNO ,San Juan
 CIRUELAS,Catamarca
 CIRUELAS,Córdoba
 CIRUELAS,Mendoza
 CIRUELAS,Río Negro
 CIRUELAS,Santiago del Estero
 DURAZNO Y ZAPALLO ,Chubut
 DURAZNO Y ZAPALLO ,Córdoba
 DURAZNO Y ZAPALLO ,Misiones
 DURAZNO Y ZAPALLO ,Río Negro
 DURAZNO Y ZAPALLO ,San Juan
 ESPARRAGOS,Catamarca
 ESPARRAGOS,Chaco
 ESPARRAGOS,Jujuy
 ESPARRAGOS,Mendoza
 ESPARRAGOS,Misiones
 ESPINACA,Buenos Aires
 ESPINACA,Mendoza
 ESPINACA,Misiones
 ESPINACA,Salta
 ESPINACA,San Luis
 FRAMBUESA,Córdoba
 FRAMBUESA,Mendoza
 FRAMBUESA,Misiones
 FRAMBUESA,San Juan
 FRAMBUESA,Santa Fe
 FRUTILLA,Catamarca
 FRUTILLA,Córdoba
 FRUTILLA,Misiones
 FRUTILLA,San Luis
 FRUTILLA,Santa Fe
 GARBANZO,Corrientes
 GARBANZO,Córdoba
 GARBANZO,Mendoza
 GARBANZO,Misiones
 GARBANZO,Neuquén
 HIGOS,Buenos Aires
 HIGOS,Catamarca
 HIGOS,Mendoza
 HIGOS,Misiones
 HIGOS,Santa Fe
 LECHUGA,Buenos Aires
 LECHUGA,Catamarca
 LECHUGA,Mendoza
 LECHUGA,Misiones
 LECHUGA,San Luis
 LINO,Buenos Aires
 LINO,Chubut
 LINO,Córdoba
 LINO,Misiones
 LINO,Neuquén
 MANZANA Y CIRUELA ,Chubut
 MANZANA Y CIRUELA ,Córdoba
 MANZANA Y CIRUELA ,Misiones
 MANZANA Y CIRUELA ,Río Negro
 MANZANA Y CIRUELA ,San Juan
 MANZANA Y CIRUELA.,Chubut
 MANZANA Y CIRUELA.,Córdoba
 MANZANA Y CIRUELA.,Misiones
 MANZANA Y CIRUELA.,Río Negro
 MANZANA Y CIRUELA.,San Juan
 MENTA,Buenos Aires
 MENTA,Chaco
 MENTA,Jujuy
 MENTA,Misiones
 MENTA,San Luis
 MIJO,Buenos Aires
 MIJO,Córdoba
 MIJO,Misiones
 MIJO,Neuquén
 MIJO,Santa Fe
 MORA,Corrientes
 MORA,Misiones
 MORA,Río Negro
 MORA,San Juan
 MORA,Santa Fe
 NOVILLOS,Jujuy
 NOVILLOS,Misiones
 NOVILLOS,Salta
 NOVILLOS,San Luis
 NOVILLOS,Santa Fe
 OLIVO,Córdoba
 OLIVO,Mendoza
 OLIVO,Neuquén
 OLIVO,Río Negro
 OLIVO,Santa Fe
 OREGANO,Buenos Aires
 OREGANO,Mendoza
 OREGANO,Misiones
 OREGANO,Salta
 OREGANO,Santiago del Estero
 REMOLACHA,Catamarca
 REMOLACHA,Mendoza
 REMOLACHA,Misiones
 REMOLACHA,Salta
 REMOLACHA,San Luis
 TE,Córdoba
 TE,Mendoza
 TE,Salta
 TE,San Juan
 TE,Tucumán
CEREALES Y OLEAGINOSAS.,Buenos Aires
CEREALES Y OLEAGINOSAS.,Catamarca
CEREALES Y OLEAGINOSAS.,Córdoba
CEREALES Y OLEAGINOSAS.,Misiones
CEREALES Y OLEAGINOSAS.,Santiago del Estero
CEREZA,Buenos Aires
CEREZA,Catamarca
CEREZA,Córdoba
CEREZA,Río Negro
CEREZA,Salta
CHIA,Chubut
CHIA,Córdoba
CHIA,Misiones
CHIA,Neuquén
CHIA,Río Negro
CHIA (SALVIA HISPANICA L),Buenos Aires
CHIA (SALVIA HISPANICA L),Corrientes
CHIA (SALVIA HISPANICA L),Córdoba
CHIA (SALVIA HISPANICA L),Misiones
CHIA (SALVIA HISPANICA L),Santa Fe
GANADERIA BOVINA,Buenos Aires
GANADERIA BOVINA,Misiones
GANADERIA BOVINA,Río Negro
GANADERIA BOVINA,San Juan
GANADERIA BOVINA,Santa Fe
GIRASOL,Buenos Aires
GIRASOL,Córdoba
GIRASOL,Misiones
GIRASOL,San Juan
GIRASOL,Santa Fe
LANA SUCIA,Catamarca
LANA SUCIA,Chubut
LANA SUCIA,Córdoba
LANA SUCIA,Misiones
LANA SUCIA,Santa Fe
MIEL Y SUBPRODUCTOS DE LA COLMENA.,Catamarca
MIEL Y SUBPRODUCTOS DE LA COLMENA.,Chaco
MIEL Y SUBPRODUCTOS DE LA COLMENA.,Córdoba
MIEL Y SUBPRODUCTOS DE LA COLMENA.,Río Negro
MIEL Y SUBPRODUCTOS DE LA COLMENA.,Santiago del Estero
MOSTO CONCENTRADO DE UVA,Chubut
MOSTO CONCENTRADO DE UVA,Córdoba
MOSTO CONCENTRADO DE UVA,Misiones
MOSTO CONCENTRADO DE UVA,Neuquén
MOSTO CONCENTRADO DE UVA,San Juan
MOSTO DE UVA,Chubut
MOSTO DE UVA,Córdoba
MOSTO DE UVA,Misiones
MOSTO DE UVA,Neuquén
MOSTO DE UVA,San Juan
OLIVOS,Córdoba
OLIVOS,Mendoza
OLIVOS,Río Negro
OLIVOS,Santa Fe
OLIVOS,Santiago del Estero
SORGO,Córdoba
SORGO,Entre Ríos
SORGO,Mendoza
SORGO,Misiones
SORGO,Santa Fe
TE,Catamarca
TE,Córdoba
TE,Jujuy
TE,Mendoza
TE,Misiones
UVAS,Córdoba
UVAS,Misiones
UVAS,Neuquén
UVAS,Río Negro
UVAS,Santa Fe
ZAPALLO,Chaco
ZAPALLO,Mendoza
ZAPALLO,Misiones
ZAPALLO,Río Negro
ZAPALLO,Salta
 ACEITE DE GIRASOL,Buenos Aires
 ACEITE DE GIRASOL,Córdoba
 ACEITE DE GIRASOL,Misiones
 ACEITE DE GIRASOL,Neuquén
 ACEITE DE OLIVA,Buenos Aires
 ACEITE DE OLIVA,Córdoba
 ACEITE DE OLIVA,Misiones
 ACEITE DE OLIVA,Neuquén
 AVENA,Buenos Aires
 AVENA,Entre Ríos
 AVENA,Misiones
 AVENA,Neuquén
 BORREGOS,Chubut
 BORREGOS,La Rioja
 BORREGOS,Misiones
 BORREGOS,Santa Fe
 CANOLA,Buenos Aires
 CANOLA,Córdoba
 CANOLA,Misiones
 CANOLA,San Juan
 CAPONES,Chubut
 CAPONES,La Rioja
 CAPONES,Misiones
 CAPONES,Santa Fe
 CERA,Córdoba
 CERA,Mendoza
 CERA,Neuquén
 CERA,Santa Fe
 CHIA,Buenos Aires
 CHIA,Mendoza
 CHIA,Misiones
