producto,provincia
MANZANAS,Santa Fe
 ACEITE DE MANI,Buenos Aires
 ACEITE DE MANI,Misiones
 ACEITE DE MANI,Neuquén
 ACEITE DE SOJA,Córdoba
 ACEITE DE SOJA,Misiones
 ACEITE DE SOJA,Neuquén
 AJEDREA,Buenos Aires
 AJEDREA,Misiones
 AJEDREA,Salta
 AJI,Catamarca
 AJI,Misiones
 AJI,Santa Fe
 ALCAUCIL,Catamarca
 ALCAUCIL,Jujuy
 ALCAUCIL,Misiones
 ALCOHOL,Buenos Aires
 ALCOHOL,Misiones
 ALCOHOL,San Juan
 ALMENDRAS,Catamarca
 ALMENDRAS,La Rioja
 ALMENDRAS,Misiones
 AMARANTO,Buenos Aires
 AMARANTO,Mendoza
 AMARANTO,Salta
 APIO,Catamarca
 APIO,Mendoza
 APIO,San Luis
 BORREGAS,Córdoba
 BORREGAS,Misiones
 BORREGAS,Santa Fe
 CASSIS,Entre Ríos
 CASSIS,Río Negro
 CASSIS,Santa Fe
 CEDRON,Buenos Aires
 CEDRON,Misiones
 CEDRON,San Luis
 CEREZAS,Catamarca
 CEREZAS,Río Negro
 CEREZAS,Santiago del Estero
 CHIA (SALVIA HISPANICA L),Córdoba
 CHIA (SALVIA HISPANICA L),Misiones
 CHIA (SALVIA HISPANICA L),Santa Fe
 COLMENAS,Chubut
 COLMENAS,Mendoza
 COLMENAS,Santa Fe
 CORDEROS,Córdoba
 CORDEROS,Misiones
 CORDEROS,Santa Fe
 ESTRAGON,Buenos Aires
 ESTRAGON,Jujuy
 ESTRAGON,Misiones
 FORESTALES,Buenos Aires
 FORESTALES,Córdoba
 FORESTALES,Santa Fe
 FRUTILLA CONGELADA,Córdoba
 FRUTILLA CONGELADA,Entre Ríos
 FRUTILLA CONGELADA,Misiones
 GANADERIA OVINA (CARNE Y LANA),Misiones
 GANADERIA OVINA (CARNE Y LANA),Río Negro
 GANADERIA OVINA (CARNE Y LANA),Santa Fe
 HARINA DE MANI,Buenos Aires
 HARINA DE MANI,Misiones
 HARINA DE MANI,Neuquén
 HARINA DE SOJA,Córdoba
 HARINA DE SOJA,Misiones
 HARINA DE SOJA,Neuquén
 HINOJO,Buenos Aires
 HINOJO,Catamarca
 HINOJO,San Luis
 HISOPO,Buenos Aires
 HISOPO,Misiones
 HISOPO,Salta
 LANA LAVADA,Chubut
 LANA LAVADA,Córdoba
 LANA LAVADA,Neuquén
 LAVANDIN,Buenos Aires
 LAVANDIN,Misiones
 LAVANDIN,Salta
 MANDIOCA,Buenos Aires
 MANDIOCA,Mendoza
 MANDIOCA,Misiones
 MANI,Mendoza
 MANI,Misiones
 MANI,Neuquén
 MANI CONFITERIA,Buenos Aires
 MANI CONFITERIA,Misiones
 MANI CONFITERIA,Neuquén
 MANI FRITO SALADO,Buenos Aires
 MANI FRITO SALADO,Misiones
 MANI FRITO SALADO,Neuquén
 MANI TOSTADO,Buenos Aires
 MANI TOSTADO,Misiones
 MANI TOSTADO,Neuquén
 MELAZA,Córdoba
 MELAZA,Misiones
 MELAZA,San Juan
 MELON,Mendoza
 MELON,Misiones
 MELON,Santa Fe
 MIEL,Buenos Aires
 MIEL,Córdoba
 MIEL,Misiones
 MORAS CONGELADAS,Córdoba
 MORAS CONGELADAS,La Rioja
 MORAS CONGELADAS,Misiones
 NOGAL,La Rioja
 NOGAL,Misiones
 NOGAL,Río Negro
 NUEZ SECA CON CASCARA,Catamarca
 NUEZ SECA CON CASCARA,Chubut
 NUEZ SECA CON CASCARA,Córdoba
 NUEZ SECA PELADA,Catamarca
 NUEZ SECA PELADA,Chubut
 NUEZ SECA PELADA,Córdoba
 OLEAGINOSAS Y LEGUMINOSAS.,Catamarca
 OLEAGINOSAS Y LEGUMINOSAS.,Córdoba
 OLEAGINOSAS Y LEGUMINOSAS.,Santiago del Estero
 OLEAGINOSAS Y OTROS PRODUCTOS ORGANICOS.,Chubut
 OLEAGINOSAS Y OTROS PRODUCTOS ORGANICOS.,Misiones
 OLEAGINOSAS Y OTROS PRODUCTOS ORGANICOS.,Río Negro
 PASAS DE UVA,Corrientes
 PASAS DE UVA,Córdoba
 PASAS DE UVA,Misiones
 PASTA DE MANI,Buenos Aires
 PASTA DE MANI,Misiones
 PASTA DE MANI,Neuquén
 PASTIZAL NATURAL,Córdoba
 PASTIZAL NATURAL,Neuquén
 PASTIZAL NATURAL,Santa Fe
 PASTURAS,Buenos Aires
 PASTURAS,Corrientes
 PASTURAS,Entre Ríos
 PELON,Buenos Aires
 PELON,Chaco
 PELON,San Juan
 PIMIENTO,Catamarca
 PIMIENTO,Mendoza
 PIMIENTO,San Juan
 QUINOA,Catamarca
 QUINOA,Córdoba
 QUINOA,Santiago del Estero
 RABANITO,Catamarca
 RABANITO,Mendoza
 RABANITO,San Luis
 RADICHETA,Catamarca
 RADICHETA,Mendoza
 RADICHETA,San Luis
 RUCULA,Catamarca
 RUCULA,Jujuy
 RUCULA,Mendoza
 TOPS DE LANA,Chubut
 TOPS DE LANA,Córdoba
 TOPS DE LANA,Salta
 VINO,Buenos Aires
 VINO,Córdoba
 VINO,Misiones
 ZAPALLITO,Catamarca
 ZAPALLITO,Mendoza
 ZAPALLITO,San Luis
ACEITE DE GIRASOL,Córdoba
ACEITE DE GIRASOL,Misiones
ACEITE DE GIRASOL,Neuquén
ALZA MELARIA,Chubut
ALZA MELARIA,Mendoza
ALZA MELARIA,Santa Fe
CEBADA,Chubut
CEBADA,Corrientes
CEBADA,Misiones
CENTENO,Corrientes
CENTENO,Mendoza
CENTENO,Neuquén
FRUTILLA CONGELADA,Córdoba
FRUTILLA CONGELADA,Entre Ríos
FRUTILLA CONGELADA,Misiones
GIRASOL ALTO OLEICO,Córdoba
GIRASOL ALTO OLEICO,Entre Ríos
GIRASOL ALTO OLEICO,Salta
GRANOS,Buenos Aires
GRANOS,Córdoba
GRANOS,Río Negro
JUGO DE UVA,Córdoba
JUGO DE UVA,Misiones
JUGO DE UVA,San Luis
MIEL + EXTRACCION DE MIEL Y ESTAMPADO DE CERA,Misiones
MIEL + EXTRACCION DE MIEL Y ESTAMPADO DE CERA,Río Negro
MIEL + EXTRACCION DE MIEL Y ESTAMPADO DE CERA,Santa Fe
MIEL.,Buenos Aires
MIEL.,Córdoba
MIEL.,Misiones
NUECES,Catamarca
NUECES,Chubut
NUECES,Córdoba
NUEZ PECAN,Corrientes
NUEZ PECAN,Misiones
NUEZ PECAN,Santa Fe
OVEJAS,Chubut
OVEJAS,Misiones
OVEJAS,Santa Fe
PASAS DE UVA,Buenos Aires
PASAS DE UVA,Córdoba
PASAS DE UVA,Santa Fe
PASTURAS,Buenos Aires
PASTURAS,Entre Ríos
PASTURAS,Salta
PERAS,Catamarca
PERAS,Córdoba
PERAS,La Rioja
PULPA Y JUGO DE MANZANA Y  MANZANA DESHIDRATADA,Buenos Aires
PULPA Y JUGO DE MANZANA Y  MANZANA DESHIDRATADA,Córdoba
PULPA Y JUGO DE MANZANA Y  MANZANA DESHIDRATADA,Río Negro
SESAMO,Córdoba
SESAMO,Misiones
SESAMO,Santa Fe
UVA,Corrientes
UVA,Córdoba
UVA,Misiones
UVAS PARA VINIFICAR,Chaco
UVAS PARA VINIFICAR,Río Negro
UVAS PARA VINIFICAR,Santiago del Estero
  ACEITE DE GIRASOL,Misiones
  ACEITE DE GIRASOL,Neuquén
  ACEITUNAS VERDES,Córdoba
  ACEITUNAS VERDES,Misiones
  DULCE,Buenos Aires
  DULCE,Misiones
  MIX PARA MILANESA DE SOJA,Córdoba
  MIX PARA MILANESA DE SOJA,Misiones
 ACEITE DE CANOLA,Buenos Aires
 ACEITE DE CANOLA,Misiones
 ACEITE DE COLZA,Misiones
 ACEITE DE COLZA,Neuquén
 ACEITE DE COLZA CANOLA,Córdoba
 ACEITE DE COLZA CANOLA,Misiones
 ACEITE ESENCIAL DE LIMON,Chaco
 ACEITE ESENCIAL DE LIMON,Córdoba
 ACEITE ESENCIAL DE MANDARINA,Chaco
 ACEITE ESENCIAL DE MANDARINA,Córdoba
 ACEITE ESENCIAL DE NARANJA,Chaco
 ACEITE ESENCIAL DE NARANJA,Córdoba
 ACEITE ESENCIAL DE POMELO,Chaco
 ACEITE ESENCIAL DE POMELO,Córdoba
 ACEITUNAS NEGRAS,Córdoba
 ACEITUNAS NEGRAS,Misiones
 ACEITUNAS VERDES,Córdoba
 ACEITUNAS VERDES,Misiones
 AJENJO,Misiones
 AJENJO,San Luis
 AJO NEGRO,Córdoba
 AJO NEGRO,Misiones
 ALZA MELARIA,Córdoba
 ALZA MELARIA,Mendoza
 AROMATICAS,Río Negro
 AROMATICAS,Santiago del Estero
 AROMATICAS Y MEDICINALES; DULCES,Córdoba
 AROMATICAS Y MEDICINALES; DULCES,Santiago del Estero
 AVELLANAS,La Rioja
 AVELLANAS,Misiones
 AZUCAR INTEGRAL DE CAÑA,Córdoba
 AZUCAR INTEGRAL DE CAÑA,Misiones
 CAPUERA,Misiones
 CAPUERA,Tucumán
 CARNES Y PESCADOS,Buenos Aires
 CARNES Y PESCADOS,Misiones
 CARTAMO,Misiones
 CARTAMO,Neuquén
 CASCARA Y FLOR),Buenos Aires
 CASCARA Y FLOR),Misiones
 CAÑA DE AZUCAR,Mendoza
 CAÑA DE AZUCAR,Misiones
 CEBOLLA DE VERDEO,Buenos Aires
 CEBOLLA DE VERDEO,Mendoza
 CEREALES,Córdoba
 CEREALES,Misiones
 CHAUCHA,Mendoza
 CHAUCHA,San Luis
 CHOCLO,Mendoza
 CHOCLO,Río Negro
 CIBOULETTE,Misiones
 CIBOULETTE,San Luis
 CILANTRO,Jujuy
 CILANTRO,Mendoza
 COLZA,Misiones
 COLZA,Neuquén
 COMPUESTA,Córdoba
 COMPUESTA,Misiones
 CON PALO),Córdoba
 CON PALO),Misiones
 CORINTO,Entre Ríos
 CORINTO,Santa Fe
 CREMA FACIAL ANTIAGE,Córdoba
 CREMA FACIAL ANTIAGE,Misiones
 CREMA FACIAL DIURNA,Córdoba
 CREMA FACIAL DIURNA,Misiones
 CREMA FACIAL NOCTURNA NUTRITIVA,Córdoba
 CREMA FACIAL NOCTURNA NUTRITIVA,Misiones
 DAMASCOS Y NUECES,Córdoba
 DAMASCOS Y NUECES,Río Negro
 EMULSION CORPORAL ANTIAGE,Córdoba
 EMULSION CORPORAL ANTIAGE,Misiones
 EMULSION CORPORAL NUTRITIVA,Córdoba
 EMULSION CORPORAL NUTRITIVA,Misiones
 ESPARRAGO CONGELADOS,Córdoba
 ESPARRAGO CONGELADOS,Misiones
 ESTRAGON FRANCES,Buenos Aires
 ESTRAGON FRANCES,Misiones
 EXPELLER DE COLZA Y HARINA DE COLZA,Misiones
 EXPELLER DE COLZA Y HARINA DE COLZA,Neuquén
 EXPELLER DE GIRASOL,Misiones
 EXPELLER DE GIRASOL,Neuquén
 EXPELLER DE SOJA,Misiones
 EXPELLER DE SOJA,Neuquén
 FINA,Córdoba
 FINA,Misiones
 FRUTAS IQF,Córdoba
 FRUTAS IQF,Misiones
 FUERTE,Córdoba
 FUERTE,Misiones
 GRANADAS,Chubut
 GRANADAS,San Juan
 GROSELLA,Entre Ríos
 GROSELLA,Santa Fe
 GRUESA),Córdoba
 GRUESA),Misiones
 HABAS,Buenos Aires
 HABAS,San Luis
 HARINA DE COLZA,Misiones
 HARINA DE COLZA,Neuquén
 HARINA DE GIRASOL,Misiones
 HARINA DE GIRASOL,Neuquén
 HARINA DE GIRASOL ,Misiones
 HARINA DE GIRASOL ,Neuquén
 HARINA DE MAIZ,Córdoba
 HARINA DE MAIZ,Misiones
 HARINA DE SOJA TOSTADA,Córdoba
 HARINA DE SOJA TOSTADA,Misiones
 HARINA DE TRIGO,Córdoba
 HARINA DE TRIGO,Misiones
 HARINA GIRASOL,Misiones
 HARINA GIRASOL,Neuquén
 HARINA INTEGRAL (SUPER FINA,Córdoba
 HARINA INTEGRAL (SUPER FINA,Misiones
 HARINA INTEGRAL FINA,Córdoba
 HARINA INTEGRAL FINA,Misiones
 HARINA INTEGRAL GRUESA,Córdoba
 HARINA INTEGRAL GRUESA,Misiones
 HARINA INTEGRAL SUPERFINA,Córdoba
 HARINA INTEGRAL SUPERFINA,Misiones
 HARINA SOJA,Misiones
 HARINA SOJA,Neuquén
 HEBRAS),Córdoba
 HEBRAS),Misiones
 HIERBAS AROMATICAS,Buenos Aires
 HIERBAS AROMATICAS,Misiones
 HOJA DE PARRA,Buenos Aires
 HOJA DE PARRA,Misiones
 HORTALIZAS,Córdoba
 HORTALIZAS,La Rioja
 HORTICULTURA,Córdoba
 HORTICULTURA,Santiago del Estero
 JUGO CONCENTRADO CONGELADO DE MANDARINA,Chaco
 JUGO CONCENTRADO CONGELADO DE MANDARINA,Córdoba
 JUGO CONCENTRADO CONGELADO DE POMELO,Chaco
 JUGO CONCENTRADO CONGELADO DE POMELO,Córdoba
 JUGO PASTEURIZADO CONGELADO DE LIMON,Chaco
 JUGO PASTEURIZADO CONGELADO DE LIMON,Córdoba
 JUGO PASTEURIZADO CONGELADO DE MANDARINA,Chaco
 JUGO PASTEURIZADO CONGELADO DE MANDARINA,Córdoba
 JUGO PASTEURIZADO CONGELADO DE NARANJA,Chaco
 JUGO PASTEURIZADO CONGELADO DE NARANJA,Córdoba
 JUGO PASTEURIZADO CONGELADO DE POMELO,Chaco
 JUGO PASTEURIZADO CONGELADO DE POMELO,Córdoba
 LANA PEINADA,Chubut
 LANA PEINADA,Córdoba
 LAVANDA VERA,Buenos Aires
 LAVANDA VERA,Misiones
 LEMON GRAS,Buenos Aires
 LEMON GRAS,Misiones
 LIMON (CASCARA),Buenos Aires
 LIMON (CASCARA),Misiones
 MEZCLA DE HIERBAS PARA INFUSION,Buenos Aires
 MEZCLA DE HIERBAS PARA INFUSION,Misiones
 MEZCLA PARA AVES,Buenos Aires
 MEZCLA PARA AVES,Misiones
 MEZCLA PARA CARNES,Buenos Aires
 MEZCLA PARA CARNES,Misiones
 MEZCLA PARA HIERBAS FINAS,Buenos Aires
 MEZCLA PARA HIERBAS FINAS,Misiones
 MEZCLA PARA PESCADOS,Buenos Aires
 MEZCLA PARA PESCADOS,Misiones
 MIJO Y ACEITE DE GIRASOL,Misiones
 MIJO Y ACEITE DE GIRASOL,Neuquén
 MIX PARA PREPARAR MILANESAS DE SOJA,Córdoba
 MIX PARA PREPARAR MILANESAS DE SOJA,Misiones
 NABO,Catamarca
 NABO,Mendoza
 NARANJA AMARGA - (HOJA,Buenos Aires
 NARANJA AMARGA - (HOJA,Misiones
 NARANJA DULCE (CASCARA Y FLOR),Buenos Aires
 NARANJA DULCE (CASCARA Y FLOR),Misiones
 NOGALES,Buenos Aires
 NOGALES,Santa Fe
 NUEZ PECAN,Mendoza
 NUEZ PECAN,Santa Fe
 OLEAGINOSAS Y LEGUMINOSAS,Mendoza
 OLEAGINOSAS Y LEGUMINOSAS,Misiones
 PALTA,Catamarca
 PALTA,Corrientes
 PALTAS,Chubut
 PALTAS,San Juan
 PAPA,Mendoza
 PAPA,Neuquén
 PASTA DE SOJA,Córdoba
 PASTA DE SOJA,La Rioja
 PERAS,Córdoba
 PERAS,Misiones
 POMELO (CASCARA Y SEMILLA),Buenos Aires
 POMELO (CASCARA Y SEMILLA),Misiones
 POROTO DE SOJA,Córdoba
 POROTO DE SOJA,Misiones
 POROTO NEGRO,Misiones
 POROTO NEGRO,Santa Fe
 POROTOS DE SOJA,Córdoba
 POROTOS DE SOJA,Misiones
 PUERRO,Catamarca
 PUERRO,Mendoza
 PULPA CONCENTRADA DE DAMASCO,Córdoba
 PULPA CONCENTRADA DE DAMASCO,Tucumán
 PULPA CONCENTRADA DE DURAZNO,Córdoba
 PULPA CONCENTRADA DE DURAZNO,Tucumán
 PULPA CONCENTRADA DE MANZANA,Córdoba
 PULPA CONCENTRADA DE MANZANA,Tucumán
 PULPA CONCENTRADA DE PERA,Córdoba
 PULPA CONCENTRADA DE PERA,Tucumán
 PULPA DE CIRUELA,Córdoba
 PULPA DE CIRUELA,Tucumán
 PULPA DE DAMASCO,Córdoba
 PULPA DE DAMASCO,Tucumán
 PULPA DE DURAZNO,Córdoba
 PULPA DE DURAZNO,Tucumán
 PULPA DE MANZANA,Córdoba
 PULPA DE MANZANA,Tucumán
 PULPA DE PERA,Córdoba
 PULPA DE PERA,Tucumán
 PULPA DE ZANAHORIA,Córdoba
 PULPA DE ZANAHORIA,Tucumán
 PULPA DE ZAPALLO,Córdoba
 PULPA DE ZAPALLO,Tucumán
 PURE DE BATATA,Córdoba
 PURE DE BATATA,Tucumán
 PURE DE DAMASCO,Córdoba
 PURE DE DAMASCO,Tucumán
 PURE DE DAMASCO CONCENTRADO,Córdoba
 PURE DE DAMASCO CONCENTRADO,Tucumán
 PURE DE DURAZNO,Córdoba
 PURE DE DURAZNO,Tucumán
 PURE DE DURAZNO CONCENTRADO,Córdoba
 PURE DE DURAZNO CONCENTRADO,Tucumán
 PURE DE MANZANA,Córdoba
 PURE DE MANZANA,Tucumán
 PURE DE MANZANA CONCENTRADO,Córdoba
 PURE DE MANZANA CONCENTRADO,Tucumán
 PURE DE PERA,Córdoba
 PURE DE PERA,Tucumán
 PURE DE PERA CONCENTRADO,Córdoba
 PURE DE PERA CONCENTRADO,Tucumán
 PURE DE ZANAHORIA,Córdoba
 PURE DE ZANAHORIA,Tucumán
 PURE DE ZAPALLO,Córdoba
 PURE DE ZAPALLO,Tucumán
 QUESO DE SOJA,Córdoba
 QUESO DE SOJA,La Rioja
 QUINOTO,Catamarca
 QUINOTO,Mendoza
 REBOZADOR,Córdoba
 REBOZADOR,Misiones
 RESIDUO VEGETAL,Buenos Aires
 RESIDUO VEGETAL,Tucumán
 SALSA DE SOJA,Córdoba
 SALSA DE SOJA,La Rioja
 SANDIA,Córdoba
 SANDIA,Santa Fe
 SAUCO,Río Negro
 SAUCO,Santa Fe
 SEMILLAS DE LINO,Córdoba
 SEMILLAS DE LINO,Misiones
 SEMITA DE MAIZ,Córdoba
 SEMITA DE MAIZ,Misiones
 SERUM CONTORNO DE LABIOS,Córdoba
 SERUM CONTORNO DE LABIOS,Misiones
 SERUM CONTORNO DE OJOS,Córdoba
 SERUM CONTORNO DE OJOS,Misiones
 SIN PALO,Córdoba
 SIN PALO,Misiones
 SYRUP,Misiones
 SYRUP,San Juan
 TE DE ROSA MOSQUETA (SAQUITOS).,Córdoba
 TE DE ROSA MOSQUETA (SAQUITOS).,Misiones
 TE DE ROSA MOSQUETA EN SAQUITOS,Córdoba
 TE DE ROSA MOSQUETA EN SAQUITOS,Misiones
 TE NEGRO (SAQUITOS,Córdoba
 TE NEGRO (SAQUITOS,Misiones
 TE NEGRO EN HEBRAS,Córdoba
 TE NEGRO EN HEBRAS,Misiones
 TE NEGRO EN SAQUITOS,Córdoba
 TE NEGRO EN SAQUITOS,Misiones
 TE VERDE (SAQUITOS,Córdoba
 TE VERDE (SAQUITOS,Misiones
 TE VERDE CON MENTA,Buenos Aires
 TE VERDE CON MENTA,Misiones
 TE VERDE EN HEBRAS,Córdoba
 TE VERDE EN HEBRAS,Misiones
 TE VERDE EN SAQUITOS,Córdoba
 TE VERDE EN SAQUITOS,Misiones
 TILO,Buenos Aires
 TILO,Misiones
 TONICO FACIAL,Córdoba
 TONICO FACIAL,Misiones
 TORTA DE SOJA,Misiones
 TORTA DE SOJA,Neuquén
 TREBOL ROJO,Buenos Aires
 TREBOL ROJO,Misiones
 TRIGO PAN,Córdoba
 TRIGO PAN,Misiones
 UVAS,Córdoba
 UVAS,Río Negro
 VINO ESPUMANTE,Córdoba
 VINO ESPUMANTE,Misiones
 VIVERO,Córdoba
 VIVERO,Neuquén
 YERBA MATE (SUAVE,Córdoba
 YERBA MATE (SUAVE,Misiones
 YERBA MATE COMPUESTA,Córdoba
 YERBA MATE COMPUESTA,Misiones
 YERBA MATE CON PALO,Córdoba
 YERBA MATE CON PALO,Misiones
 YERBA MATE DESPALILLADA,Córdoba
 YERBA MATE DESPALILLADA,Misiones
 YERBA MATE EN SAQUITOS,Córdoba
 YERBA MATE EN SAQUITOS,Misiones
 YERBA MATE FUERTE,Córdoba
 YERBA MATE FUERTE,Misiones
 ZARZAMORA,Entre Ríos
 ZARZAMORA,Santa Fe
 ZUCCHINI,Catamarca
 ZUCCHINI,San Luis
AJO NEGRO,Córdoba
AJO NEGRO,Misiones
ALCOHOL,Misiones
ALCOHOL,San Juan
ALGAS MARINAS,Buenos Aires
ALGAS MARINAS,Córdoba
ALIMENTO BALANCEADO,Misiones
ALIMENTO BALANCEADO,San Juan
ARANDANO CONGELADO,La Rioja
ARANDANO CONGELADO,Tucumán
ARANDANOS,Corrientes
ARANDANOS,Santa Fe
AROMATICAS,Mendoza
AROMATICAS,Misiones
ARROZ INTEGRAL,Córdoba
ARROZ INTEGRAL,Salta
AVENA ARROLLADA,Chubut
AVENA ARROLLADA,Misiones
AZUCAR INTEGRAL DE CAÑA,Córdoba
AZUCAR INTEGRAL DE CAÑA,Misiones
CIRUELA DESECADA,Córdoba
CIRUELA DESECADA,Salta
CIRUELAS,Córdoba
CIRUELAS,Río Negro
ELAB ACEITE ROSA MOSQUETA,Neuquén
ELAB ACEITE ROSA MOSQUETA,Salta
ESPARRAGO ,Buenos Aires
ESPARRAGO ,Misiones
FRAMBUESA,Entre Ríos
FRAMBUESA,Santa Fe
FRUTAS,Córdoba
FRUTAS,Misiones
FRUTICULTURA,Córdoba
FRUTICULTURA,Santiago del Estero
FRUTILLA,Entre Ríos
FRUTILLA,Misiones
HIERBAS AROMATICAS,Buenos Aires
HIERBAS AROMATICAS,Misiones
HIGOS,Chubut
HIGOS,San Juan
HORTALIZAS.,Buenos Aires
HORTALIZAS.,Santa Fe
JUGO CONCENTRADO DE PERA Y MANZANA,Río Negro
JUGO CONCENTRADO DE PERA Y MANZANA,San Juan
JUGO Y ACEITE DE LIMON,Córdoba
JUGO Y ACEITE DE LIMON,Santiago del Estero
KIWI,Buenos Aires
KIWI,Corrientes
LANA LAVADA,Córdoba
LANA LAVADA,Salta
MANDARINA,Córdoba
MANDARINA,Mendoza
MANI Y SOJA,Misiones
MANI Y SOJA,Neuquén
MANI Y SOJA.,Misiones
MANI Y SOJA.,Neuquén
MONTE,Santa Fe
MONTE,Tucumán
NARANJA,Córdoba
NARANJA,Santa Fe
OLIVA,Catamarca
OLIVA,Santiago del Estero
OLIVO,Río Negro
OLIVO,Santa Fe
OREGANO,Chaco
OREGANO,Misiones
POMELO,Mendoza
POMELO,Misiones
PULPA CONCENTRADA DE CIRUELA,Córdoba
PULPA CONCENTRADA DE CIRUELA,Tucumán
PULPA DE PERA,Córdoba
PULPA DE PERA,Tucumán
ROSA MOSQUETA,Córdoba
ROSA MOSQUETA,Santa Fe
SIN PROD.,Chubut
SIN PROD.,Córdoba
TE ROJO Y TE DE ROSA MOSQUETA,Córdoba
TE ROJO Y TE DE ROSA MOSQUETA,Misiones
TERNEROS,Mendoza
TERNEROS,Santa Fe
TOROS,Chubut
TOROS,Santa Fe
TORTA DE SOJA,Misiones
TORTA DE SOJA,Neuquén
TRIGO Y SOJA,Buenos Aires
TRIGO Y SOJA,Misiones
VAQUILLONAS,Misiones
VAQUILLONAS,Santa Fe
YERBA MATE SUAVE,Córdoba
YERBA MATE SUAVE,Misiones
  EXPELLER DE GIRASOL Y EXPELLER DE CANOLA,Misiones
  LIMON,San Luis
  LINO,Córdoba
  PACK CHOI,Salta
  RUCULA,Mendoza
  TE NEGRO,San Juan
 ACEITE DE CARTAMO,Misiones
 ACEITE DE CHIA,Córdoba
 ACEITE DE GIRASOL Y ACEITES DE COLZA,Misiones
 ACEITE DE JOJOBA,Río Negro
 ACEITE DE LIMPIEZA,Misiones
 ACEITE DE MANDARINA,Córdoba
 ACEITE DE OLIVA SABORIZADO,Córdoba
 ACEITE DE ROSA MOSQUETA,Córdoba
 ACEITE ESENCIAL DE LEMONGRASS,Misiones
 ACEITE ESENCIAL DE OREGANO,Misiones
 ACEITES,Misiones
 ACEITUNAS Y UVAS,Córdoba
 ALAMO,Río Negro
 ALBAHACA,Jujuy
 ALCAUCIL.,San Luis
 ALGARROBO,Santa Fe
 ALPISTE,Buenos Aires
 ANANA Y MANDARINA,Santa Fe
 APIO CHINO,Salta
 ARANDANOS,Córdoba
 ARANDANOS Y FRUTOS DEL BOSQUE),Río Negro
 AROMAS DE PERA,Córdoba
 AROMAS DE PERA Y MANZANA,Córdoba
 AROMATICAS Y MEDICINALES,Mendoza
 ARROZ Y SORGO,Córdoba
 ARVEJAS,Mendoza
 AVELLANO,Santa Fe
 AVENA ARROLLADA,Misiones
 AZAFRAN,Misiones
 AZUCAR,Santiago del Estero
 AZUCAR Y CENTENO,Córdoba
 BERENJENA,Catamarca
 BERENJENAS,San Luis
 BLANCO PULIDO,Salta
 BLOUSSE (PUNCHAS),Córdoba
 BOYSENBERRY,Santa Fe
 BRASSICA ALBOGLABRA,Salta
 BRASSICA CHINENSIS,Salta
 BRASSICA JUNCEA,Salta
 BRASSICA NAPUS,Salta
 CALENDULA,Santa Fe
 CARAMELOS,Córdoba
 CASCARILLA DE ROSA MOSQUETA,Córdoba
 CASTAÑA,Santa Fe
 CEBOLLA VERDEO,Mendoza
 CHUPETINES,Córdoba
 CIRUELA DESECADA,Córdoba
 CIRUELA DESHIDRATADA CON CAROZO Y MANZANA DESHIDRATADA,Córdoba
 CITRICOS).,Mendoza
 COLIFLOR,Buenos Aires
 COLZA CANOLA,Misiones
 CONGELADO DE FRUTILLAS,Córdoba
 CORTES DE CARNE VACUNA CONGELADA,Santiago del Estero
 CORTES DE CARNE VACUNA ENFRIADA,Córdoba
 CRISANTEMO,Salta
 CURCUMA,San Luis
 DINKEL,Salta
 DULCES,Misiones
 DURAZNOS,Córdoba
 DURAZNOS.,Mendoza
 ECHALOTTE,Santa Fe
 EMULSION CORPORAL SUAVIZANTE,Córdoba
 ESCAROLA,San Luis
 ESCAROLA FINA,Mendoza
 EXPELLER DE CANOLA,Misiones
 EXPELLER DE CARTAMO,Misiones
 EXPELLER DE COLZA CANOLA,Misiones
 EXTRACTO DE ALGAS LIOFILIZADO,Córdoba
 FASE OLEOSA DE LIMON,Córdoba
 FASE OLEOSA DE MANDARINA,Córdoba
 FASE OLEOSA DE NARANJA,Córdoba
 FASE OLEOSA DE POMELO,Córdoba
 FRUTALES,Santa Fe
 FRUTAS,Santiago del Estero
 FRUTAS TROPICALES,Misiones
 FRUTILLAS,Río Negro
 FRUTOS Y AROMATICAS,Misiones
 FRUTOS) - FRUTALES: (CAROZO,Mendoza
 GANADERIA OVINA,Salta
 GARRAPIÑADA,Córdoba
 GEL DE ALOE VERA,Córdoba
 GIRASOL ALTO OLEICO,Chubut
 GIRASOL CONFITERO,Santa Fe
 GRANADO,Santa Fe
 GUANACOS,Santa Fe
 GUINDA,Santa Fe
 GUINDAS,Santa Fe
 HARINA DE ARROZ,Chubut
 HARINA Y SEMOLA DE ARROZ,Córdoba
 HARINA ZOOTECNICA,Misiones
 HARINAS,Misiones
 HIGO,Buenos Aires
 HOJA Y FRUTOS,Buenos Aires
 HOJAS,Mendoza
 HOMINY GRITS,Misiones
 IPOMOEA AQUATICA,Salta
 JENJIBRE,San Luis
 JUGO CONCENTRADO CONGELADO DE LIMON,Chaco
 JUGO CONCENTRADO CONGELADO DE NARANJA,Córdoba
 JUGO CONCENTRADO DE LIMON,Córdoba
 JUGO CONCENTRADO DE MANDARINA,Córdoba
 JUGO CONCENTRADO DE MANZANA,Córdoba
 JUGO CONCENTRADO DE NARANJA,Córdoba
 JUGO CONCENTRADO DE PERA,Córdoba
 JUGO CONCENTRADO TURBIO DE PERA Y MANZANA,Córdoba
 JUGO DE ALOE VERA SABORIZADO,Córdoba
